Year,Month,District,PM2.5_mean,PM10_mean,O3_mean,NO2_mean,SO2_mean,CO_mean,AQI_Good_Rate_pct
2023,12,Changning,49.0,124.0,68.0,58.4,6.4,1.2,71.0
2023,12,Chongming,44.0,126.0,84.0,28.3,5.6,1.0,87.1
2023,12,Fengxian,50.0,126.0,84.0,45.9,6.3,0.9,83.9
2023,12,Hongkou,49.0,129.0,67.0,52.5,7.5,1.2,80.6
2023,12,Huangpu,51.0,133.0,71.0,52.0,6.7,1.1,77.4
2023,12,Jiading,53.0,130.0,66.0,54.4,8.3,1.2,71.0
2023,12,Jing'an,50.0,127.0,73.0,52.3,6.4,1.2,80.6
2023,12,Jinshan,52.0,132.0,83.0,47.2,6.9,1.0,80.6
2023,12,Minhang,49.0,127.0,72.0,54.6,6.3,1.1,71.0
2023,12,Pudong,46.0,131.0,75.0,52.5,7.5,1.2,80.6
2023,12,Putuo,49.0,124.0,72.0,53.9,7.6,1.3,80.6
2023,12,Qingpu,53.0,142.0,70.0,55.9,6.1,1.2,74.2
2023,12,Songjiang,51.0,138.0,70.0,51.4,6.3,1.0,80.0
2023,12,Xuhui,52.0,125.0,64.0,60.0,6.4,1.1,71.0
2023,12,Yangpu,48.0,125.0,74.0,55.0,6.7,1.2,64.5
2023,11,Baoshan,35.0,101.0,114.0,46.0,6.9,0.9,83.3
2023,11,Changning,33.0,93.0,125.0,46.6,6.4,1.1,96.7
2023,11,Chongming,28.0,90.0,127.0,23.6,5.7,0.7,96.7
2023,11,Fengxian,35.0,101.0,129.0,35.0,5.9,0.9,93.3
